Words,Translation
高熱調整器,a high-temperature thermostat
山の高さ,Height of the mountain
波の高さ,Height of a wave
彼は背の高さが 2 メートル近くある,He's almost two meters tall.
あの山は高さが 200 メートルほどしかない,That mountain is only about 200 meters high.
この部屋は天井までの高さが 5 メートルもある,This room is 5 meters high to the ceiling.
10 メートルの高さから飛び降りる,He jumps from a height of 10 meters.
その高さでは空気はきわめて希薄なはずだ,The air must be very thin at that height.
いくつかの建物が市内一の高さを競っている,There are several buildings vying to be the tallest in the city.
銀行預金残高,Bank Deposit Balance
残高を繰り越す,Carry forward the balance
残高を全部引き出す,Withdraw the entire balance
政界に名高い人物,Famous political figures
歴史に名高い場所,Famous place in history
この町は避暑地として名高い,This town is famous for its summer resort
山で遭難する,Getting Lost in the Mountains
山で暮らす,Living in the mountains
海岸まで山が迫っている,Mountains close in on the coast
山に魅せられる,Fascinated by mountains
山に抱かれた湖,A lake embraced by mountains
山に囲まれた町,A Town Surrounded by Mountains
山を越えて隣村に行く,Going over the mountain to the next village
山は雲に覆われていた,The mountains were covered with clouds
活動中の火山,Active volcano
火山が噴火した,A volcano erupted.
火山が噴火した後に湖ができた,A lake was formed after the volcano erupted
火山が噴煙を上げている,The volcano is blowing smoke
火山の活動,Volcano activity
火山の噴火を予知する,Predicting a volcanic eruption
火山の爆発,Explosion of a volcano
死火山,Extinct volcano
は頂上から下山する途中彼らに会った,met them on the way down from the summit.
登山用の装備,Mountaineering Equipment
登山に絶好の季節,The perfect season for climbing
富士登山をする,Climbing Mt.
この山には登山路が3つある,This mountain has three climbing routes.
登山用具,Climbing equipment
鉱山を掘る,Digging a mine
鉱山を経営する,Running a Mine
鉱山開発,Mine Development
氷山の一角にすぎない,It's just the tip of the iceberg
氷山の一角,The tip of the iceberg.
彼が歩くと小山が動くようだ,"When he walks, the mountain seems to move."
アルプスの山々は雪に覆われていた,The mountains of the Alps were covered in snow
箱根の山々,Mountains in Hakone
山道をたどる,Following a mountain path
その山を越える山道は一つしかない,There is only one mountain road that goes over those mountains.
この山道を登ると美しい湖に出る,This mountain path leads to a beautiful lake
山道で迷ってヘロヘロに疲れて家にたどり着いた,I got lost on the mountain road and arrived home exhausted and tired.
私はそのバナナの木を急な山道で見つけた,I found the banana tree on a steep mountain path.
我々は山道をまるでアリが這うように進んだ,We were like ants crawling along the mountain path.
野山を歩く,Walking in the Wild
雨不足で野山の植物が枯れた,The lack of rain had killed the plants in the fields.
馬の背にまたがり野山を走り回った,We rode through the fields on the backs of horses.
春が来ると野山の全てが生き生きとする,"When spring comes, everything in the fields and mountains comes alive."
野山は春の装いだ,The fields and mountains are dressed for spring.
その鉱山は不況のため閉山になった,The mine was closed due to the recession.
その山は 9 月 30 日で閉山になった,The mountain was closed on September 30.
山林保護,Forest Protection
山林を造る,Building a forest
私は山脈を見た,I saw a mountain range.
あの山脈の名前は何と言いますか,What is the name of that mountain range?
我々はその山脈で土着のガイドを雇った,We hired an indigenous guide in that mountain range.
彼は富士山に登った,He climbed Mount Fuji.
富士山は姿が美しいので有名です,Fuji is famous for its beautiful shape.
あなたは今までに富士山を登ったことがありますか,Have you ever climbed Mount Fuji before?
ここからは、富士山は見えないよ,You can't see Mt. Fuji from here.
日本のどの山も富士山ほど高くない,No mountain in Japan is as high as Mt. Fuji.
上から下まで,Top to bottom.
下から5 行目に,On the fifth line from the bottom.
一番下から数えて4番目に,Fourth from the bottom.
下から突き上げるような揺れを感じた,I felt a jolt from below.
階段の下に,At the bottom of the stairs
雲を下に見る,Look down at the clouds
下へ降りる,Going down
下へ落ちる,Falling down
私は下を向いたまま立っていた,I stood there looking down
判決を下す,Passing judgment
結論を下す,Draw a conclusion
判定を下す,Passing judgment
階段を下りる,Going down the stairs
山を下りる,Going down the mountain
石段を下りると茶屋があります,Down the stone steps to the teahouse
急いで階段を下りた,I hurried down the stairs
鳥が地面に下りている,The birds are down on the ground
霜が降りる,Frost is falling
藤棚から藤の花が下がっていた,Wisteria flowers were falling from the wisteria trellis
頭上からクモが下がってきた,A spider was dropping from overhead
風がなく旗は下がったままだ,There was no wind and the flag stayed down
エレベーターは地下まで下がった,The elevator went down to the basement
血圧が下がればいいのだが,I wish my blood pressure would go down.
このところ株価が下がり続けている,The stock market has been falling recently.
天井から電灯を下げる,I lower the lights from the ceiling.
機首を下げる,Lower the nose of the plane.
右側を少し下げてください,Lower the right side a little
室温を下げる　,Lower the room temperature　
給料を下げる,Lower the payroll
音量を下げる,Lower the volume
程を下げる,Lower the pitch
地下鉄に乗る,Take the subway
地下鉄の駅,Subway station
地下鉄を降りる,Getting off the subway
靴下を穴の開くまではく,Wear socks until they have holes in them
純毛の靴下　,Pure wool socks　
ひざまで来る靴下,Socks that come up to my knees
靴下を引っ張り上げる,Pulling up socks
地下に埋める,Buried underground
地下に埋もれた埋蔵金,Buried in the basement
理髪店は地下にあります,Barbershop is in the basement
地下に潜る,Buried underground
地下核実験,Underground nuclear test
彼女の部屋とは廊下続きです,Her room is down the hall.
廊下伝いに浴室へ行ける,We can follow the hallway to the bathroom.
廊下を通って,Down the hallway.
この廊下を歩くとどんどん狭くなってしまう,"The further we walk down this hallway, the smaller and smaller it gets."
授業が終わると、子供たちは廊下へ飛び出した,"When class was over, the kids ran out into the hallway"
50以下,Under 50
5歳以下の小児,Children under 5 years old
原価以下で売る,Sell for less than cost
500万円以下では売るまい,I will not sell for less than five million yen
総数は予想以下だった,The total number was less than expected.
米は室温で保存すると幾分品質が低下する,Rice loses some of its quality when stored at room temperature.
血圧が急激に低下した,Blood pressure dropped rapidly.
川の水位が低下しはじめた,The water level in the river began to drop.
あまり暑いと思考力が低下する,Too much heat reduces the ability to think.
能率を低下させずに,Without decreasing the efficiency
発行部数の低下　,Decrease in circulation　
製品の品質低下を招く,Causing a drop in product quality
視力の低下を食い止める,Stopping the loss of eyesight
学校の近所に下宿した,I took a boarding house near my school
適当な下宿を見つける,Find a suitable boarding house
下宿生活をする,Live in a boarding house
下痢になる,Get diarrhea
弁当の何かが当たって下痢になった,Something in my lunch box hit me and I got diarrhea.
外国語は使わずにいるとたちまち下手になる,"If you don't use a foreign language, you'll quickly become terrible at it."
下手な言い訳はやめろ,Stop making lame excuses.
彼はまだ日本語が下手だ,He's still not very good at Japanese.
最初の角を右に曲がる,Turn right at the first corner
右前に着物を着る,Put on your kimono in front of you on the right
針路を右に取る,Take the needle to the right
道路の左右に,On both sides of the road
左右を見る,Look left and right
左右の確認を怠るな,Don't neglect to look left and right
美妓を左右にはべらして,Have a beautiful girl on your right and left
感情に左右される,Be swayed by emotion
環境に左右される,Be influenced by the environment
天候に左右される,Be influenced by the weather
一国の運命を左右する,A country's fate depends on it
市場を左右する,influence the market
右手の法則,The Law of the Right Hand
右手に海が見えます,You can see the ocean on your right.
右手を挙げなさい,Raise your right hand.
最初に右手を出しなさい,Give me your right hand first.
彼は右手を延ばした,He extended his right hand.
そのレストランなら右手にありますよ,That restaurant is on your right.
右側を通る,Go through on the right.
右側を通りなさいよ,Walk on the right.
トイレは右側にあります,Toilet is on the right.
を向くと、東は右側になる,"If you turn around, east is on your right."
右側を通るべきだ,You should drive on the right side of the road
道の右側を運転してはいけません,You shouldn't drive on the right side of the road
私はその事故で右足を損傷した,I injured my right leg in that accident.
私は事故で右足を負傷した,I injured my right leg in the accident.
私は右足を折った,I broke my right leg.
右上の親知らずが痛みます,I have a pain in my upper right wisdom tooth
画面右上の「ログイン」をクリックしてください,"Click on ""Login"" in the upper right corner of the screen"
"次の信号を右折すると, 学校が見えてきます",Turn right at the next traffic light and you will see the school.
右折禁止,No right turn
最初の信号を右折して,Turn right at the first traffic light.
は右折した,Turn right at the first light
その信号を右折して,Turn right at that light.
右折しなさい、そうすれば私の事務所が見つかります,"Turn right, and you will find my office."
靴を右左にはく,Put your shoes on the right and left
座右に備える,Prepare to sit right
座右に置いて参考にする,sit on your right and refer to it
本書はすべての教師が座右に備えるべきものである,This book is something that every teacher should have on their desk.
私はその本を座右に置いている,I have that book on my right.
右腕が上がりません,I can't lift my right arm.
右腕を骨折したみたいなんだ,I think I broke my right arm.
右腕を伸ばせません,I can't extend my right arm.
右腕を曲げられません,I can't bend my right arm.
右目が熱い感じです,My right eye feels hot.
大統領が右腕と頼む男,The President is asking for my right arm.
目がどうにかなってしまった,I've got something wrong with my eye.
右目では何も見えない,I can't see anything with my right eye.
２年前に右目を失明しました,I lost my sight in my right eye two years ago.
右翼の街宣車,Right-wing street car
右翼運動,Right wing movement
敵の右翼を突く,Poke the right wing of the enemy
五輪旗の右端の輪っかって何色だったっけか？,What color was the rightmost circle of the Olympic flag?
右傾運動,Right-wing movement
右舷に舵を取る,Steer to starboard
右舷の方向に船を認める,Admit a ship in the starboard direction
東は山に面する,East is facing the mountains
東寄りの風,Wind from the east
太陽は東から出て西に沈む,The sun rises in the east and sets in the west
風が東から吹いている,The wind is blowing from the east.
その港から東に約 30 キロの洋上に,"About 30 kilometers east of the harbor, on the ocean."
市の東方10キロの所に,10 kilometers east of the city.
東方に,To the east.
東洋医学,oriental medicine
彼は東洋芸術のかなりの専門家だ,He's quite an expert in oriental art.
東洋の陶器に興味があります,I'm interested in oriental pottery.
彼は東洋の国々の文化を研究していた,He studied the cultures of the oriental countries
東西に横たわる,Lying east to west
東西に流れる,Flowing east to west
東西に走る道路,Roads running east to west
東西の学に通じている,It leads to the study of East and West
東西を結ぶ道路,Roads connecting east and west
この森は東西3キロある,This forest is three kilometers east to west.
東北特有のなまり,Tohoku's unique accent
彼女はもう一度東北に行きたい気がしました,She felt like she wanted to go to Tohoku again
東北地方,Tohoku Region
東北弁,Tohoku dialect
関東の人より関西の人のほうがお笑い好きだ,People in Kansai like comedy more than people in Kanto
明日関東では大雨の恐れがあります,Heavy rain is expected in the Kanto region tomorrow
関東大震災,Great Kanto Earthquake
東京駅,Tokyo Station
私は東京に行きたい,I want to go to Tokyo
私はこの本を買いに東京に行った,I went to Tokyo to buy this book.
本の東京からきました,I came from the book Tokyo
東部海岸,Eastern Coast
狩野川は静岡県東部を流れて駿河湾に注ぐ,The Kano River flows through eastern Shizuoka Prefecture and empties into Suruga Bay
東部諸州,Eastern provinces
南東の風,Wind from the southeast
英国の南東区は人口密度が高い,The southeastern section of the UK is densely populated
北東貿易風,Northeast trade winds
北東方向に土地が低く横たわっていた。,Land lay low in the northeast direction.
東経180度に,180 degrees east longitude.
日本の子午線は東経１３５度です,Japan's meridian is 135 degrees east longitude
東岸気候,East Coast Climate
私たちの町はその川の東岸にある,Our city is on the east bank of that river.
その市はハドソン川の東岸にある,That city is on the east bank of the Hudson River
東向きの窓,Windows facing east
東向きの部屋　,Room facing east　
東京発は１２３便は何時に到着しますか,What time does flight 123 arrive from Tokyo?
東京発の００１便で来ました,I'm on flight 001 from Tokyo.
東証会員権,TSE Membership
東証外国株市場,TSE foreign stock market
同社は東証に上場している,The company is listed on the Tokyo Stock Exchange.
東証の出来高は今年の最高に膨らんだ,Volume on the TSE has swelled to the highest level this year.
そのホテルは東側は湖に接している,The hotel is bordered by a lake on the east side.
城は町の東側に立っている,The castle stands on the east side of the town.
後について行く,I'll be right behind you.
"交渉に際しては, 一歩も後へ引かない方針だ","When it comes to negotiations, I don't back down one step."
彼は私のずっと後のほうからついて来た,He came up behind me.
一歩後へ下がる,One step back.
私は一歩も後へは引かない,I don't take a step back.
後も見ずに逃げる,I run without looking back.
後ろからついて行く,I follow from behind
後ろから背中を押す,He pushes me from behind
家のすぐ後ろに学校がある,There's a school right behind our house
"半年後, 妻も病んで夫の後を追った","Six months later, the wife got sick and followed her husband."
後を追う,Follow behind
後ろに倒れる,Fall back.
後ろに回る,Turn around
後ろに忍び寄る,creeping backwards
本の後ろにある解説,Commentary at the back of the book
"心配するな, おれが後ろについているから","Don't worry, I've got your back."
"両手を挙げ, 背中を後ろに反らして伸びをした","He raised his hands, arched his back, and stretched."
私の後ろにきちんと並んでください,Get in line behind me.
後ろへ下がる,Step back.
くるりと後ろを向く,Turn around and look back.
後ろを振り返ってはならない,Do not look back.
酒は以後慎みなさい,Refrain from drinking.
以後あんな所へ行ってはならない,Don't go to that place again.
"はい, 以後気をつけます","Yes, I'll be careful from now on."
それ以後の彼をだれも知らない,No one knows who he is after that.
前後に揺れる,Swaying back and forth
文章の前後の関係を無視して言葉を引用する,Quoting words without considering their relationship to each other.
前後を見回す,Looking back and forth
乗客は全員前後の扉からいっせいに逃げた,All the passengers fled through the front and rear doors at once.
車に突っ込まれた車両の前後の車両も脱線した,The cars in front of and behind the one that was rammed by the car also derailed.
後者の場合は,In the latter case
後輩を引き立てる,take care of the junior staff
後輩の面倒を見る,Take care of your junior colleague
彼は私たちよりもずっと後輩だ,He's much more junior than we are.
自分のしたことを後悔する,I regret what I've done
私は今では大学を中退したことを後悔している,I now regret that I dropped out of college
彼は今までの怠慢を後悔している,He regrets his past negligence.
後悔しても追いつかなかった,Regret didn't catch up with me.
いま株を買ったら後で後悔するよ,"If you buy stocks now, you'll regret it later."
部屋を最後に出たのは私だ,I was the last one to leave the room.
最後まで読み通す,I'll read it all the way through.
並んでいる行列の最後についた,I was the last in line.
彼は最後まで船内に残っていた,He stayed on board until the end.
"あの話, 最後はどうなったんだい","That story, how did it end?"
20 世紀の後半に,In the late 20th century.
列車の最後部の展望車　,The observation car at the end of the train.　
後部車輪,Rear wheels
午後の列車,Afternoon train.
午後5 時に,5:00 p.m.
この仕事は午後までかかる,This job takes all afternoon.
戦争の後期,Late in the War
後期試験,Late exams
後日になってそれを知った,I found out about it at a later date
後日まで延期する,Postpone until a later date
詳細な説明は後日に譲ります,I'll leave the details to a later date
後日あらためて寄らせていただきます,I'll come back to you at a later date
その事件は今後に課題を残した,The incident has left us with a lot to work on.
今後の成り行き次第では追加措置が必要となろう,"Depending on how it goes, additional measures may be necessary."
今後どんなことが起こるかわからない,We don't know what the future holds.
温かい目で彼の今後を見守ることにしよう,I'll keep a warm eye on him and see what happens.
今後もあることだから注意しておく,I'll keep an eye on him. It'll happen.
天気は西から崩れるでしょう,The weather will break from the west.
西東京代表チーム,West Tokyo National Team
風が西から吹いてい,The wind is blowing from the west.
西は海に面する,West is facing the ocean
西寄りの風,Wind from the west
日は西に傾いていた,The sun was leaning to the west
その岬から西に約 10 キロの海上で,About 10 kilometers west of that cape in the ocean
西洋化する,Westernized.
当時彼は西洋かぶれの代表だった,"At the time, he was the epitome of a westernized man."
西方に向かって航行する,We're sailing west.
国境の西方5 キロの地点に,Five kilometers west of the border.
彼は６月に東京を離れて関西に来る,He'll leave Tokyo in June and come to Kansai.
ほとんどの人は逸見氏が関西出身だとは知らない,Most people don't know that Itsumi is from Kansai.
その町は東西に長い,"That town is long, east to west."
東西に流れる,It flows east to west
東西に横たわる,Lying east to west
東西に走る道路,Roads run east to west
うちの西側の窓,Our west window
大西洋横断ケーブル,Transatlantic cable
大西洋横断定期船,Transatlantic liner
大西洋横断飛行,Transatlantic flight
北西航路,Northwest Passage
西風が吹いている,A westerly wind is blowing.
西風に変わった,The wind has changed to a westerly.
この部屋は西日が射して暑い,The sun is shining in the west and it's hot in this room.
西日の射す部屋,Room with western sun
西部に行く,Going to the West
高知県西部を流れる四万十川　,Shimanto River flows through the western part of Kochi Prefecture　
は町の西部に住んでいる,is living in the western part of town
遠い西部にはほとんど鉄道がなかった,There were almost no railroads in the far west
西洋人と話すときには気をつけなければいけない,I have to be careful when I talk to westerners
木の間に隠れる,Hiding among the trees
本の間にしおりをはさむ,Putting a bookmark between books
行と行との間をあける,Leave space between the lines
本州と四国の間を結ぶ連絡船,A liaison ship between Honshu and Shikoku
熊は冬の間ずっと眠っている,The bear sleeps through the winter
その間何をしようか,What shall I do in the meantime?
留守の間にだれか来たらしい,It seems that someone came while I was away
私に残された貴重な時間,What precious time do I have left?
食事の時間は 12 時から 1 時までです,Meal times are from 12:00 to 1:00.
決められた時間内に用意できる,I can prepare it in the allotted time.
時間が過ぎ行くままにする,I'll let the time pass.
その中間に 1 つの島がある,There is one island in the middle.
名古屋は東京と京都の中間にある,Nagoya is in the middle of Tokyo and Kyoto
中間の立場を取る,I'll take the middle ground.
これ以上のことは人間にはできない,No human can do better than this
人間の能力の限界に挑戦する,Pushing the limits of human ability.
間もなく3 番線に名古屋行きの急行がまいります,The express train to Nagoya will be arriving on track 3 shortly.
間もなくお呼びしますので少々お待ちください.,Please wait a moment. I'll call you shortly.
もう間もなく夜が明ける,It's almost dawn.
約束の時間に間に合わない,I'll never make it to my appointment.
締め切りに間に合う,I'll meet the deadline.
開演に間に合う,I'll make it in time for the show.
7 時の列車に間に合う,I can make the 7:00 train.
式場にはゆっくり間に合った,I made it to the ceremony in time.
重大な間違い,Serious mistakes
釣り銭の間違い,Wrong change
不注意による間違い,Inadvertent mistake
私の記憶に間違いがなければ,If I'm not mistaken.
彼の報告は間違いだらけだ,His report is full of errors.
と言っても間違いでない,It's not a mistake to say
間違いを指摘する　,I'll point out the mistakes.　
間違いを直す,Correcting mistakes
世間到る所に,The world is full of them.
そんなことを言っても世間が承知しない,The world doesn't know that you're saying that
世間が狭い,The world is too small
世間に吹聴する,Spread the word
世間に広まる,Spread to the world
世間に認知される,The world knows
週間天気予報,Weekly weather forecast
今日から 4週間後に,Four weeks from today
3週間にわたって,Over the next three weeks
太るから私は間食をやめた,I've stopped snacking because I'm gaining weight
間食を控えるよう医者に言われている,I've been told by my doctor to cut back on snacking
間接的な被害をこうむる,Indirect damage
間接的な関係,Indirect relationships
人から間接的に聞いた話では　,I heard indirectly from people that　
国内産業への間接的な影響,Indirect impact on domestic industry
二人は出会った瞬間恋に落ちた,"The moment they met, they fell in love."
その瞬間が永遠のように感じられた,That moment felt like an eternity.
その瞬間に彼女の優勝が決まった,That moment was the moment she won.
それはちょっと目を離した瞬間の出来事だった,It was the moment I took my eyes off her.
仲間から締め出す,Shutting out your friends
仲間と示し合わせる　,I'm going to make a point with my friends.　
いつもの仲間で街に繰り出し,He went out on the town with his usual friends.
彼は街の不良の仲間に入った,He joined the gang of delinquents in town.
仲間に入りませんか?,Would you like to join them?
彼は昼間働いて夜学校へ行く,He works during the day and goes to school at night.
定められた期間が過ぎると無効になる,"After a set period of time, it becomes invalid."
期間が過ぎる,The period expires.
期間を延長する,Extend the period.
期間を短縮する,Shorten the term.
期間を 2 年に限る,Limit the period to two years
海外勤務の期間はどのくらいの予定ですか,How long do you plan to work overseas?
池の水が凍った,The water in the pond froze.
花瓶のバラに水が上がった,Water rose on the roses in the vase.
今年の夏は全国的に水が不足している,Water is in short supply all over the country this summer.
袋の水がもれた,Water leaked out of a bag.
新潟県は水がいいから酒造りに適している,"Niigata Prefecture has good water, which is suitable for sake brewing."
僕は水泳は少しもできない,I'm not even a good swimmer.
水泳の練習をする,I practice swimming.
水泳の達人,An expert swimmer
水道の水をやかんに入れる,Filling a kettle with water from the tap
水道の引いてある部屋,A room with running water
水素を添加する,Add hydrogen
うっとりするような香水の香り,The smell of perfume is intoxicating.
香水のにおいがぷんぷんする,The smell of perfume in the air
香水を振りかける,Sprinkle perfume
香水を吹きかける,Spraying perfume
香水をつける,Add perfume
塩水を淡水にする,Turn salt water into fresh water
淡水化する　,Desalination　
水分を吸収する,Absorb water
水分を含んでいる,Contain water
水分を補給する,Replenish water content
水分定量,Moisture metering
水分除去,Moisture removal
水平軸,Horizontal axis
水平にする,Leveling
水平思考,Horizontal thinking
川の水源をきわめる,Determine the source of water in the river
水源が枯れてしまった,The water source has dried up.
夏はたいてい海水浴に行く,I usually go swimming in summer.
鎌倉で海水浴をする,I go swimming in Kamakura.
僕の水筒、どこかな？,Where is my water bottle?
僕の水筒、空っぽなんだけど,My water bottle is empty.
水筒にはほとんど水が残っていない,There's hardly any water left in my water bottle.
噴水から水が出ていた,There was water coming out of the fountain.
噴水の水は循環しています. 飲まないでください,The water in the fountain is circulating. Please don't drink it.
噴水を設ける,Set up a fountain
水準が高くなる,Raising the water level
世界的な水準を上回る　,Higher than global standards　
生活水準,Standard of living
高い教育水準を維持する,Maintain high educational standards
国際的水準からすれば,By international standards
水準点,Water level point
下水が詰まった,Sewage clogged
雨水を下水に流す,Discharge rainwater into the sewer
下水を掃除する,Cleaning the sewage
大気中の水蒸気,Water vapor in the atmosphere
水蒸気を出す,Emit water vapor
水蒸気となって発散する,Dissipate as water vapor
水蒸気圧,Water vapor pressure
本を元のところに置く,Put the book back where it belongs.
子供によい本を選んでやる,Choose a good book for your child
本を読みながら眠ってしまう,Falling asleep while reading a book
日本改造計画,Japan Remodeling Project
日本型経営,Japanese-style management
本日のランチの内容はなんですか,What's for lunch today?
これが本日のおすすめ料理です,This is today's recommended dish.
本日ご覧ください,Please take a look today.
オープンセールを行っております,We are having an opening sale!
彼は左腕一本でその重い荷物を持ち上げた,He lifted that heavy load with his left arm alone.
彼は半年に一本のペースで論文を書いている,He writes one paper every six months.
本棚に本を並べる,Putting the books on the bookshelf
本棚を組み立てる,Assembling the bookshelf
本当のことを言えば,To tell you the truth.
本当のところはどうなんだ?,What's the real story?
本当の意味での幸福　,The real happiness　
本当の年を教えてください,Tell me the real year
彼は決して本当の気持ちを明かさない,He never reveals his true feelings
その語の本当の意味において,In the true meaning of the word
本能のままにふるまう,Acting on instinct
本能によって生きる,Live by instinct
母性本能を発揮する,Exercise your maternal instincts
の議論は問題の本質から外れている,The discussion of the following is not the essence of the matter
人間の本質,Human nature
問題の本質を探る,Search for the essence of the problem
日本文化の本質に触れる思いがする,I feel that I am in touch with the essence of Japanese culture
本物と偽物とを見分ける,Distinguishing the real from the fake
本物そっくりのブランド品,Brand-name products that look like the real thing
この造花はまるで本物のようだ,These artificial flowers look like the real thing.
彼はこれを本物だと言って売りつけた,He sold it to me as the real thing.
基本に立ち返る,Going back to basics
基本に忠実に従って練習する,Practice by following the basics.
私は健康のために野菜や魚中心の和食を基本にしています,"I base my diet on Japanese food, mainly vegetables and fish, for my health."
和服は直線が基本になっている,Japanese clothes are based on straight lines
基本を学ぶ,Learn the basics
基本を身につける,Learn the basics
基本を応用する,Apply the basics
基本を守る,Keep the basics
基本給と諸手当,Basic salary and allowances
基本原料,Basic raw materials
基本構想,Basic concepts
基本財産,Basic Property
基本合意,Basic agreements
基本語彙,Basic vocabulary
基本政策,Basic Policy
基本設計,Basic Design
基本戦術,Basic Tactics
基本料金,Basic Charges
本来の意味を失う,Lose the original meaning
肌本来の働きを助ける化粧品,Cosmetics that help the skin's natural function
人間に本来備わっている免疫機能　,Immune function that is inherent in humans　
本来花粉は人体に無害なものだ,Pollen is essentially harmless to the human body
日本語学校,Japanese Language School
日本語教育,Japanese language education
本音と建て前を使い分ける,How to distinguish between real feelings and pretense
本音をさらけ出す,Revealing your true feelings
本音を吐く,Revealing one's true feelings
本文の筆者,The author of the main text
この本は本文の部分はそんなに多くない,There aren't many body parts in this book.
この本文の全ての行を翻訳しなさい,Translate every line of this text.
この情報は注釈ではなく本文で扱うべきだ,"This information should be dealt with in the text, not in the endnotes"
今からでも遅くはない,It's not too late.
今から行って列車に間に合うかしら,I don't know if I can catch the train if I go now.
今日に至るまでの経過,What happened before today?
今日に至るまで彼の消息は不明である,"To this day, his whereabouts are unknown."
遠く今日となってはもはや真相の解明は難しい,"Today, so far away, it is difficult to find out the truth."
今日ただ今の状況,"The situation today, right now"
私の今日の地位,My position today
通信手段の発達した今日では,In today's world of communication
今週私はずっと病気で寝ていた,I've been sick in bed all week.
今週はこのくらいにしておこう,That's about it for this week.
今月分の新聞代,This month's newspaper bill
今月分の給料,This month's salary
その作業は今年中続きま,The work will continue for the rest of the year.
その企画は今年中に終わります,That project will be finished by the end of this year.
今年は雨が多かった,It rained a lot this year.
今年の夏休みはどこへ行きましたか,Where did you go on your summer vacation this year?
今後のことは私に任せなさい,I'll take care of the future.
どうなるかは今後のことだ,We'll see what happens.
今後は君に送金する義務はない,I'm not obligated to send you money from now on.
今ごろはもう奈良に着いているに違いない,I'm sure you're in Nara by now.
"遅いじゃないか, 今ごろまでどこで何をしていたんだ",Where have you been all this time?
彼は今ごろどうしているだろう,I wonder how he's doing by now.
今ごろ沖縄では桜が満開だろう,The cherry blossoms must be in full bloom in Okinawa by now.
今度の人事異動で課長に昇進した,I've been promoted to section chief in the next personnel change.
今度の試験はうまくいった,The next exam went well.
いつも今度のようにうまくいくとは限らないぞ,It doesn't always go as well as this time.
今度は彼は合格まちがいなしだ,He's sure to pass this time.
今度までに手続きを終わらせておきます,I'll finish the paperwork by next time.
また今度寄ってください,Please come by again sometime.
今朝から頭痛がする,I've had a headache since this morning.
今晩はもうやすみましたから明日またお電話ください,"I've had a good night's sleep, so please call me tomorrow."
このホテルへ泊まるのも今夜が最後だ,This is the last night I'll be staying in this hotel.
今夜はこれで散会としよう,Let's call it a night.
魚は今夜中はもつだろう,I think the fish will last the night.
今回の公演はとてもよかった,This was a very good show.
今回だけは大目に見てやる,I'll tolerate you for once.
今回かぎりの大安売り,"Just this once, a bargain."
今に英語が話せるようになる,You'll speak English now.
今に降りだすよ,It will start to rain now.
今に必ず食糧危機が来る,There will be a food crisis.
今にも降りだしそうだ,It's gonna start raining any minute.
あの会社は今にも倒産しそうな状態らしい,I heard that company was about to go bankrupt.
船は今にも沈みそうだった,The ship was about to sink.
今までずっと,All this time.
今までよりも,More than ever.
今までどおり,It's the same as it's always been
今までの経験を生かしたい,I want to make the most of what I've done.
事情は今までとは大違いだ,Things are very different now.
今までは彼の言うことを信じていたのだが,"Up until now, I've trusted what he's told me."
学生だった今までと違ってこれからは責任が重いぞ,"I was a student, but now I have a lot more responsibility."
私は今でも彼女の名前を覚えている,I still remember her name.
