Expression,Expn,Trans,Convo1,Convo2,Convo3,Convo4,Convo5,Convo6,Convo7,Convo8,Convo9
好き・嫌い・得意・下手,suki / kirai / tokui / heta ,"Like, do not like, be good at, be not good at",私は納豆が好き・嫌いです。,私は数学が大好き・大嫌いです。,スポーツは得意ですが、勉強は苦手です。,人前で話すのは苦手です。,料理は得意です。,食べるのは早いですよ。,明るい色がいいです。,英語が(お)上手ですね。,.
形容詞,keiyoushi,Adjectives,今日は暑いですね。,今日はすごく寒いですね。,昨日は、月がとてもきれいでした。,私の国より東京のほうが人口が多いです。,宮崎アニメの中で、どれが一番おもしろいですか。,私が見た中では、「トトロ」が一番おもしろかったです。,インドのカレーとスリランカのカレーと、どちらのほうがからいですか。,インドのカレーのほうがからいです。,.
ある・いる,aru / iru,Expressing existence,京都には、和風の旅館がたさんあります。,たたみの部屋がありますか。,この近くに、郵便局はありますか。,はい、あのコンビニのとなりにあります。,来週、京都でお祭りがあります。,あのう、ちょっと質問があるんですが。,兄弟はいますか。,今、家にはだれもいません。,.
~がほしい・~たい・たがる,~hoshi / ~tai / ~tagaru,Want to ~ / Would like to ~,水が飲みたいです。,早くお昼を食べたいです。,何が食べたいですか。,3年後に自分の会社を作りたいです。,将来は通訳になりたいと思っています。,富士山に登ってみたいです。,前からこの映画を見たいと思っていました。,冬のコートがほしいです。,妹は早く結婚したがっています。
連体修飾節,rentai shushoku setsu,Qualifying nouns,これは去年ハワイで買ったシャツです。,昨日買ったばかりのかさを失くしてしまいました。,昨日泊まったホテルはまあまあよかったです。,今日行った店よりこの前行った店のほうがずっとよかったです。,これは約800年前に建てられたお寺です。,日本の貿易会社に勤めている友達を紹介します。,あのめがねをかけている男性がティムです,さっき話していた人は誰ですか。,.
てください・ないでください,~te kudasai / ~naide kudasai,Please do / Please don’t do,先に行ってください。,ここにメールアドレスを養いていただけませんか。,次の交差点を右に曲がってください。,ここでちよつと待っていてください。,危ないから気をつけてください。,これは捨てないでください。,まだ開けないでください。,無理をしないでください。,.
~ませんか・~ましょうか,~masen ka / ~masen? / ~mashou ka / mashou yo,Suggesting and inviting,今度、一緒に秋葉原に行きませんか。,荷物、重そうですね。持ちましょうか。,そろそろ帰りましょうか。ええ、そうしましょう。,そろそろ帰りませんか。うーん、そうですねえ...。,続きは明日にしましょうか。,これ食べません? おいしいですよ。,込んで(い)るから別の店にしませんか。,お愿に慝童して閭いてみましょうよ。,.
着脱動詞 ,chakudatsu doushi,"The verb ""to wear""",寒いからセーターを着ます。・暑いからセーターを脱ぎ ました。,寒い日は、ストッキングをはいた上にスカートをはきます。,今日は日差しが強いから、帽子をかぶったほうかいいですよ。,中に入る時、靴を脱ぎますか。いえ、はいたままで結構です,寒いから手袋やマフラーをしたほうがいいですよ。,いつも眼鏡をかけているんですか。いえ、家でははずします。,今はコンタクト(レンズ)をつけています。,さくらさんはイヤリングをつけますか。ええ、ときどき。,.
継続・状態,~te iru,Continual / Stative,まだ雨が降っています。,今、さくらデパートでセールをしています。,お風呂がわいているから、入ったら?,友達に聞いて、知っています。,そこで何をしているんですか・そこで何をしてるの?,お仕事は何をしているんですか。・お仕事はなんですか。,英語の教師をしています。・英語の教師です。,あ、電車が来て(い)る。急いで。,.
Vてから・Vた後・Vたら,~te kara / ~ta ato/ ~tara,After,ATMに寄ってから行きます。,シャワーを浴びてから出かけます。,受付をしてからお入りください。,よく考えてから申し込んだほうがいいですよ。,これは食事のあとに飲んでください。,電話を切ったあと、思い出しました。,品物を受け取ったあと、 支払いをするそうです。,寒に曹いたらメ-ルして。,.
Vてしまう,~te shimau / ~chau,Expressing emotion,あれっ、もう全部飲んじゃったの?,残すともったいないから、全部食べてしまいましよう。,じゃ、予約しちゃっていいですか。,そんな仕事、やめてしまえば?,すみません、うっかり忘れてしまったんです。,急がないと、締切に遅れてしまいます。,えっ!?　あのこと、彼女に言っちゃったの!?,それを聞いて、彼女、怒っちゃったんです。,.
Vたまま・~っぱなし,"~ta mama, ~ppanashi",Leaving something,スリッパをはいたままタタミの部屋に入ってはいけません。,使ったままにしないで、片づけてください。,よくわからないまま、参加しました。,彼は何も言わないまま、帰ってしまいました。,タイミングが合わず、結局、父とは会えないままでした。,そこは、そのままにしておいてください。,水が出しっぱなしですよ。,あれ?窓が開けっぱなしになっている。,.
Vながら・Vし,~nagara / ~shi(~shi),Describe more than one action or reason,いつも音楽を聴きながら勉強します。,寝ながら本を読むと、すぐ眠くなります。,右に回しながら、引いてください。,スマホを見ながら歩くと危ないですよ。,会社を経営しながら、絵もかいているんです。,駅から近いし、そんなに高くないし、このホテルでいいと思います。,忙しいし、お金もないから、今回は行きません。,毎朝走ってるし、土曜日もジムに行って(い)るから、運動不足ではないはずです。,.
~てもいい・~ないでください・~てはいけません,~te mo ii/ ~naide kudasai / ~te wa ikemasen,Grant and refuse permission,中に入ってもいいですか。いえ、 ここに入ってはいけません。,ここでお昼を食べてもいいですか。いいですよ。,遅れて行ってもいいですか。家、遅れたら、入れませんよ。,辞書、借りてもいい?　ちょっと待って。今使ってるから。,これはきれいだから、洗わなくてもいいです。,返事は今日でなくてもいいです。明日でいいですよ。,そんなに心配しないでください。,邪魔になるから、ここに置かないでください。,.
Vたことがあります,~ta koto ga arimasu,Have been / Have done,京都は行ったことがありますが、奈良はまだありません。,富士山に登ったことがありますか。,はい、一度あります。,いえ、まだ一度もありません。いつか登ってみたいと思います,着物を着たことがありますか。,彼と話したことがありますか。,残念ですが、彼とはまだ一度も話したことがないんです。,そんな話、聞いたことがありません。,.
可能表現,kanouhyougen,"Potential, perceptual, sensual",これは生で食べられますか。,チケットはどこで買えますか。,動物園まで歩いて行けますか。,英語が話せますか。,英語で書くことができますか。,英語がわかりますか。,このホテルから富士山が見えますか。,すみません、よく聞こえないんですが。,ジブ—リ美術館がどこにあるか、知っています。いえ、知りません
疑問詞,gimonshi,Interrogatives,どこに旅行に行きましょう(か)。,福岡は、どんな街ですか。,お祭りは何日から何日までですか。,何が面白いですか。,困ったなあ。どうしましょう。,どれが一番安いですか。,いつにするか決めてください。,何・だれ・どこ・いつ　でもいいです。,.
~ておきます・~てあります・~ています,~te okimasu / ~te arimasu / ~te imasu,Resultative,パーティーの準備をしておいてください。,店はもう予約してあります。,じゃ、彼女にも聞いておきますね。,ビールは買ってありますか。,飲み物を冷やしておきましょう。,ここに何か置いてあるけど、これ何?,もうみんな集まっています。,料理はもうできているから、いつでも始められます。,.
~ようと思う・~たいと思う,~you to omou / ~tai to omou,Express volition and intention,よし、次はがんばろう。,学ぼうという気持ちが大切です。,来月、京都へ行こうと思っています。,夏に3週間ほど帰国しようと思っています。,将来は田舎のほうに住もうと思っています。,大学に進学しようかどうか迷っています。,来月、京都へ行きたいと思っています。,将来、通訳になりたいと思って、頑張って勉強しています。,買おうとしたら、財布がないことに気づいたんです
条件表現,joukenhyougen,Conditional expressions,あの角を曲がると、ピザ屋があります。,3人なら入れるでしょう。,混んでいたら、別の店にしますか。,少し待てば、空きますよ。,もうちょっと早く行けば、あの店に入れたのに!,春になると、桜が咲きますか。,京都に行くなら、旅館は「ふじ屋」がいいですよ。,この薬を飲めば、だいぶ楽になりますよ。,薬を飲んですぐ寝たら、治りました。
~て・~ので・~から - 理由,~te / ~node / ~kara,Reasons,ネットにつながらなくて、困っています。,昨日は疲れて、すぐ寝てしまいました。,混んで(い)て、中に入れませんでした。,おなかが空いて、死にそうです。,忙しいから行けないと思います。,もったいないから捨てないでください。,時間がないので、今回はあきらめます。,用事があるので、今日はもう帰ります。,.
あげる・もらう・くれる,ageru / morau / kureru,Give and Receive,田中さんにオーストラリアのお土産をあげました。,彼はなかなか連絡をくれません。,田中さんはよく、私にお菓子をくれます。,今日中に返事をもらいたいんですが。,ニフーさんは、山田さんの書類を英語に翻訳してあけたそつです。,兄が迎えに来てくれました。,電話番号を教えてくれませんか。,友達に引つ越しを手伝ってもらいました。,.
~のに,~noni,"Although, Though, Even though, Despite（Converse Cause, Contrast, Unexpected, Regret)",忙しいのに、大丈夫ですか。,そこは安いのにおいしいんです。,今日は平日なのに込んでいますね。,彼女、知っているのに、教えてくれないんです。,この前会ったのに、名前が思い出せないんです。,さっき言ったのに!聞いてなかったの?,あーあ、頑張ったのに。残念。,ひどい! これ、新品なのに!,.
~らしい・~みたい・~っぽい,~rashii / ~mitai / ~ppoi,"Apparently, Seems, Looks like , Likeness (-ly, -ish)",もうすぐ台風が来るらしいですね。,えっ、今の人、社長(さん)だったの? 全然社長らしくない人だね。,風邪を引いたみたいです。のどが痛いです,彼女、怒っているみたいでしたよ。,日本人みたいだってよく言われます。,学生っぽく見えるけど、彼は会社の社長なんです。,彼、冗談っぽく言ってましたけど、本当は辛かったはずです。,この黒っぽい服を着ているのがビルさんです。,.
~そう・~って,~sou / ~tte,Hearsay,今の時期、京都は暑いそうですね。,ミスさんは、明日休むって言ってました。,スミスさん、明日休むんだって。,彼、明日来ないんだって。,ビルさんは、シドニーの出身だそうですよ。,ビルさんは、シドニーの出身なんですって。,ミラーさんは、学生じゃないそうです。,ミラーさんは、学生じゃないんだって。,.
~そう,~sou,"Seems, Looks like, Appears (Conjecture of feeling)",うまくいきそうですか。,蹇くて遼えそうでした。,今日は混んでそうですね。,忘れそうだから、書いておきます。,どう? できそう?,あのケーキ、おいしそう。,相変わらず、彼は忙しそうです。,彼、あんまりうれしそうじゃなかったね。嬉しくなさそうだったね。,.
~ようになる・~くなる・~になる,~you ni naru / ~ku naru/ ~ni naru,Describing changes,最近、急に寒くなりましたね。,荷物が軽くなった!,髪がだいぶ長くなりました。,ちよっとわからなくなりました。,お昼ご飯を食べたあとは、どうしても眠くなります。,面白い人ですね。友達になりたいです。,大きな病気になったことはありません。,だんだん日本語が話せるようになってきました。,.
受け身・使役,ukemi / shieki,"Passive, Causative",この建物は、約千年前に建てられたそうです,さっき電車の中で足を踏まれました。,ここを通らないように言われました。,彼女に嫌われていないか、心配です,ぜひ、私にやらせてください。,びっくりさせないでください。,日にちが決まったら、すぐに知らせてください。,彼女をがっかりさせてしまいました。,.
敬語,keigo,Honorific expressions,何時にお戻りですか。,ご:i 意はどうなさいますか。,ご案内します。どうぞ、こちらへ。,メール拝見しました。,かばんをお持ちします。,これから、どちらへいらっしゃいますか。,先生のお宅に伺います。,いらっしゃい。どうぞお上がりください。,どうぞお召し上がりください。はい。では、いただきます。
You may be surprised,densha ni noru, Catching a train,すみません、渋谷にはどう行けばいいですか。,銀座線の渋谷行きに乗ってください。,この電車は秋葉原に止まりますか。,この電車は東京に行きますか。,どこで乗り換えますか。,新宿で中央線に乗り換えてください。,東京行き(の電車)は何番線ですか。,この電車は急行ですか、各駅(停車)ですか。,.
バス・タクシーを使う,basu / takushii o tsukau,Catching a bus or a taxi,バス停はどこですか。,ふじ大学行きのバスは何番乗り場ですか。,市役所に行くには、どこで降りればいいですか。,お金はいつ払いますか。乗るときですか、降りるときですか。,整理券を取って、降りる時に払ってください。,この道をまっすぐ行ってください。,次の角を右に曲がってください。,この辺で止めてください。,.
道をたずねる,michi o tazuneru,Asking the way,すみません、駅はどっちですか。,この近くにコンビニはありませんか。,本町2丁目3番はどの辺ですか。,タクシー乗り場はどこですか。,すみません、ここに行きたいんですが。,金閣寺へはどう行けばいいですか。,ここから清水寺まで歩いて行けますか。,スカイツリーの最寄り駅はどこですか。,.
ホアノレで,hoteru de,At a hotel,予約しているブラウンです。チェックイン,夕食は何時からですか。,インターネットは使えますか。,お湯が出ないんですが。,浴衣が小さいんですが。大きいサイズのはありますか。,モーニングコールをお願いしたいんですが。,タクシーを呼んでほしいんですが。, 荷物を預かってもらえますか。,.
レストラン・喫茶店で,resutoran / kissaten de ,At a restaurant or coffee shop,メニューを見せてもらえますか。,すみません、注文をお願いします。,コーヒーをお願いします。,ホットとアイス、どちらになさいますか。 ,ホットでお願いします。,お郎み翔はお食事の負でよろしいですか。,後でお願いします。,一緒でお願いします。,.
レストラン・喫茶店で,resutoran / kissaten de ,At a restaurant or coffee shop,私はこれにします。さくらさんは何にしますか。,おすすめはですか。,これは豚肉が入っていますか。,生の魚は苦手なんです。,お酒は飲めないんです。, 姦したものが来ないんですが。,これは注文していません。,お会計お願いします。,.
デパートで,depato de,At a department store,これはいくらですか。,もうちよっと安いのはありませんか。,ほかの色はありますか。,もう少し明るい色はありませんか。,試着してもいいですか。,試着できますか。,このくつ、はいてみてもいいですか。, これのMはありますか。,これの25センチはありますか。
デパートで,depato de,At a department store,申し訳ありません。こちらに出ているだけとなっております。,お取—り寄せになりますが、いかがなさいますか。じゃ、お願いします。,このズボンはきっすぎます。,わかりました。じゃ、これにします。,ょっと考えます。,お支払はどうなさいますか。,カードでいいですか。,現金でお願いします。,プレゼントなので、包んでもらえますか。
スーパー・コンビニで,suupa / konbini de,At a supermarket or convenience store,すみません、オリーブオイルはどこですか。,これはいつまで食べられますか。,開けてからどの/どれくらいもちますか。,冷蔵庫で1週間は大丈夫です。,レジ袋にお入れしますか。いえ、結構です。,АВСスーパーの力ードは舞ちですか。,こちらは温めますか。お願いします。,宅配便を送りたいんですが。,.
家電量販店などで,kaden ryouhanten nado de,At a shop such as an electronics store,これとこれは、どこが違うんですか。,少し古くてもいいので、安いほうがいいです。, もう少し安くなりませんか。,7万円だったら買うんですが。,保証期間はどのくらいですか。,自宅まで送ってもらえますか。,配送してもらえますか。,いつ、届きますか。,これ、不良品だったんです。交換してもらえますか。
薬局で,yakkyoku de,At a drug store,この薬はいつ飲みますか。,この薬はいつ飲めばいいですか。,朝・昼・晩、一日3回、食後に飲んでください。,白いお薬が2錠、青いカプセルが1錠です。,お腹が痛いんです。いい薬はありますか。,痛み止めの薬がほしいんですが。,早く効くのがいいです。,花粉症に効くいい薬はありませんか。,この薬は、飲むと眠くなりますか。
病院で,byouin de,At a hospital,今日は診察はしていますか。何時までですか。,今、保険証を持っていないんですが、受診できますか。,どうされましたか。,昨日から寒気がするんです。,頭痛がします。・頭が痛いです。,吐き気がします。,気分が悪いです。,ときどきめまいがします。,食欲はどうですか。あまりありません。
郵便局・銀行・役所で,yuubinkyoku / ginkou / yakusho de ,At a post office; bank or government office,この荷物を航空便でシドニーまで送りたいんですが。,これをEMSでシンガポールまで送りたいんですが。,航空便だと何日くらいかかりますか。,90円切手を5枚ください。,これを速達でお願いします。,書留にしてください。,口座を開きたいんですが。,家賃を自動引き落としにしたいのですが。,.
郵便局・銀行・役所で,yuubinkyoku / ginkou / yakusho de ,At a post office; bank or government office,今、１ドルいくらですか。,今、１ドル何円ですか。,ATMの使い方を教えてください。,ATMで振り込みができますか。,在留カードの更新をしたいのですが。,この書類にご記入ください。,書き方がよくわからないのですが。,英語で相談できますか。,日本語の講座はありますか。
大学で,daigaku de,At a university,この授業は誰でも受けられますか。,このI轄を常けたいんですが。,履修登録の受付はいつまでですか。,レポートの提出期限はいつですか。,レポートを見ていただいてもよろしいでしょうか。,明後日3時に先生の研究室にうかがいます。,ご指導いただき、ありがとうございました。 ,.,.
大学で,daigaku de,At a university,これから授業に出るんですか。,明日の2限は授業入って(い)ますか。,この孵はまだ幾できるみたいですよ。,金日の「国際コミュニケーション」は休講です。,単位は取れそうですか。ううん、落とすかもしれません。,森先生は厳しいから、授業は休めません。,これ、ちょっとコピーさせてくれませんか。,スーザンは図書館で調べものをしています。,.
会社で,kaisha de ,At the office,お疲れさまです。,午後から外出します。,何時に戻る予定ですか。,これを5部ずつコピーしてもらえますか。わかりました。,じゃ、お昼に行ってきます。,さくら広告に打ち合わせに行ってきます。,お先に失礼します。,お疲れさまでした。,.
会社で,kaisha de ,At the office,ブラウンさんも会議に出るんですか。,ミーティングは10時からでしたか。,部長が打ち合わせを3時に変更してほしいそうです。,田中さんは社内にいますか。,担当者の名刺を持っていますか。,特に問題はないですか。,ええ。今のところ、問題ないです。,ちよっとお聞きしたいことがあるんですが、今、いいですか。,.
友達・先生の家を訪ねる,tomodachi / sensei no ie o tazuneru,Visiting a friend's or teachefs house,こんにちは。おじゃまします。,田中さんには、いつもお世話になっています。,コーヒーか紅茶はいかがですか。,じゃ、コーヒーをお願いします。,何を飲みますか。— じゃ、お茶をお願いします。,今日はお招きいただき、ありがとうございました。,では、そろそろ失礼します。,どうもおじゃましました。,.
ホストファミリーと,hosuto familii to,With a host family,これからお世話になりますジョーンズです。よろしくお願いします。,皆さんはいつも何時に起きますか。,晩ご飯はいつも何時頃ですか。,何か家のルールがあったら教えてください。,この人は誰ですか。,今日はちょっと帰りが遅くなります。,心配をかけて、すみませんでした。,本当の家族のように接してくれて、 ありがとうございました。,.
不動産屋で ,fudousanya de,At a real estate agent,この辺で、一人暮らしの部屋を探しているんですが。,どんな部屋をお探しですか。,どんな部屋をご希望ですか。,明るくて、広い部屋がいいです。,静かなところのほうがいいです。,駅から近いほうがいいです。,駅から徒歩10分以内のところがいいです。,この部屋を見てみたいんですが。,.
近所の人と話す,kinjo no hito to hanasu,Talking with neighbors,201号室に引つ越してきました、リベラと申します。よろしくお願いします。,燃えるごみは何曜日に出すんですか。,燃えないごみは何曜日に出すんですか。,びんや熊はどこに出したらいいですか。,ペットボトルは資源ごみですか。,家具や電気製品のようなごみは、どうやって捨てるんですか。,トイレが詰まってしまったようです。,.,.
電話で話す,denwa de hanasu,Talking on the phone,はい、リベラです,もしもし、リベラさん?田中ですが。,失礼ですが、どちらの田中さんですか。,失礼ですが、番号をお間違えではないでしょうか。,リベラと申しますが、鈴木先生はご在宅でしょうか。,夜分に申し訳ありません。,今、お時間よろしいですか。・今 、時間、大丈夫?,じゃ、また連絡するね。,じゃ、失礼します。・では、失礼いたします。
電話で話す,denwa de hanasu,Talking on the phone,田中さんをお願いします。少々お待ちください。,営業部の田中さんにお取り次ぎいただけますでしょうか。,おつなぎしますので、このままでお待ちください。,申し訳ありません。田中はただ今ほかの電話に出ておりまが...。,田中はただ今席をはずしておりますが、折り返しお電話させましょうか。,田中はただ今会議中ですが、 お急ぎでしょうか。,よろしければ、ご伝言を承りますが...。,.,.
電話で話す,denwa de hanasu,Talking on the phone,田中はただ今外出しておりまして、3 時に戻る予定です。,何時ごろにお戻りでしょっか。,お戻りになったらお電話をいただきたいのですが。,すみません、お電話をいただいたそうで。,お調べしますので、少々お待ちください。,担当の者に代わりますので、少々お待ちください。,すみません、もう一度よろしいですか。,.,.
電話で話す,denwa de hanasu,Talking on the phone,注文をお願いします。,これでは、お客様お名前とご住所をお願いします。,では、ご注文を承ります。,マルゲリータのмサイズ1つとポテト、それと、サラダをお願いします。,何分ぐらいかかりますか。,不在票が入っていたので、再配達をお願いします。,いつの酉己達がよろしいですか。,明日の午前中にお願いします。,.
電話で話す,denwa de hanasu,Talking on the phone,チケットの予約をしたいのですが。,ABCのライブですが、12貝仪目のチケットはまだ取れますか。,s席はまだ残っていますか。,じゃ、A席を2枚お願いします。,なるべく前の方の席がいいのですが。,先日予約したチケットのキャンセルをお願いしたいのですが。,予約番号がわからなくなってしまったのですが...。,.,.
デートに行く,deito ni iku,Going on a date,今度ABCのライブがあるんですが、よかつたら一緒に行きませんか。,OKの返事を受けてよかった。,7月20日から22日の3日間のうち、どの日がいいですか。,待ち合わせはどこにしますか。,時間は5時半でいいですか。,お待たせしました。早く来て(い)たんですね。 ,じゃ、まずは食事ですね。何が食べたいですか。,すごくよかったなあ。リカさんはどうだった?　私も。,.
警察・交番で,keisatsu / kouban de,At a police station,さっき、駅で財布をすられました!,すみません、スマホを落としたみたいなんです。,どこで落としたかわかりませんが、電車に乗る時はありました。,財布には、現金3万円とクレジットカード、銀行のカードが入っていました。,SUZUKIの財布で、色は黒です,見つかったら、知らせていただけますか。,そこの交差点で事故があったみたいです。,.,.
旅行の計画をたてる,ryokou no keikaku o tateru,Making a travel plan,今度 、みんなでに行きませんか。,近くでいいから海外にしませんか。,いいですね。そうしましょう,例えば、どこですか。,南の島がいいです。バリとかサイパンとか。賛成。,2月はどうですか。航空券が安いですよ。,ネットで調べてみましょう。,旅行会社に問い合わせてみます,.
旅行会社で,ryokougaisha de,At a travel agency,このツアーについて詳しく聞きたいんですが。,ご出発日はいつでしょうか。,9具の占馬を祈しています。,座席指定はできますか。,海の見える部屋がいいんですが。,自由時間はどれくらいありますか。,キャンセル料はいつからかかりますか。,.,.
美容院で,biyouin de,At a hair salon,5時に予約していたミラーです。,カットをお願いします。,全体的に2センチくらい切ってもらえますか。,こんな感じにしてもらえますか。,前髪はどうしますか。眉毛が隠れるくらいにしてください。,もう少し切ってもらえますか。,あとはお任せします。,.,.
アルバイトの面接,arubaito no mensetsu,Part time job interview,インターネットの募集広告を見て、お電話しました。,まだ募集をされていますか。,では、明日3時にお伺いします。よろしくお願いいたします。,本日з時に面接のお約束をいただいておりますスミスと申します。,スミスと申します。本日はよろしくお願いします。,こういう仕事は経験ありますか。いえ、関連した仕事は多少経験があります。,ー度日本の会社で働いてみたいと思っていました。,今日はお時間をさいていただき、ありがとうございました。,.
スポーツ,supoutsu,Sport,どちらのチームが勝っていますか。,6対1でタイガースがドラゴンズに勝ちました。,ほぼ毎日ジムに行きます。,テレビで相撲を見ますか。,学校で何かスポーツをしましたか。,あなたの国で一番人気があるスポーツは何ですか。,私はテニスをします。,.,.
映画,eiga,Movies,好きな映画はなんですか。,土曜日に映画を見に行きますか。,映画は3Dで見るのが好きです。,硫黄島からの手紙を見たことがありますか。,どんな映画が好きですか。,ハリーポッターの映画や本は日本で人気ですか。,今週末に見るDVDはどこで借りられますか。,.,.
豕族,kazoku,Family,私たちは双子です。,あなたの家族はクリスマスを祝いますか。,お兄さんの仕事は何ですか。,妹は大学を卒業したばかりです。,ご家族がいなくて、寂しいですか。,来月は両親の結婚50年記念です。,祖母は今、具合がよくありません。,.,.
健康,kenkou,Health,私はシーフードアレルギーがあります。,私は血圧が低いです。,インフルエンザの予防接種はいっすればいいですか。,この辺にいい医者はいますか。薬がなくなりそうです。,歯が痛いです。いい歯医者を知りませんか。,日本語でアンティバイオティックスはなんですか。抗生物質です。,漢方薬は保険でカバーされていますか。,.,.
趣味,shumi,Hobbies,趣味は何ですか。,暇な時に(いつも)倒をしますか。,ミステリーを読むのが大好きです。,旅行がとても好きです。,私はレッドソックスのファンで、試合全部見に行きます。,私の国の家族や友人にスカイプします。,ブラッド・ピットの新しい映画を見ました。,.,.
